X,Y,Z,列車名,種別,vertex_index,distance,angle
139.55686,35.42859,0,はやぶさ,本線,354,0.358996329,184.9115404
139.55684,35.4284,0,はやぶさ,本線,355,0.359187379,189.8495278
139.55665,35.42762,0,はやぶさ,本線,356,0.359990187,199.3868218
139.55621,35.42668,0,はやぶさ,本線,357,0.361028069,205.452293
139.55531,35.42482,0,はやぶさ,本線,358,0.36309437,204.3273231
139.55507,35.42425,0,はやぶさ,本線,359,0.363712836,205.525505
139.55485,35.42384,0,はやぶさ,本線,360,0.364178132,212.01035
139.55441,35.42323,0,はやぶさ,本線,361,0.364930262,218.0839403
139.55407,35.42283,0,はやぶさ,本線,362,0.365455238,223.0642175
139.55369,35.42246,0,はやぶさ,本線,363,0.365985615,227.1543325
139.55309,35.42193,0,はやぶさ,本線,364,0.366786178,232.5684709
139.55262,35.42162,0,はやぶさ,本線,365,0.367349205,237.4163477
139.55199,35.42123,0,はやぶさ,本線,366,0.368090151,239.9698821
139.55186,35.42116,0,はやぶさ,本線,367,0.368237799,240.8900178
139.5508,35.42055,0,はやぶさ,本線,368,0.369460787,242.2125603
139.54953,35.41994,0,はやぶさ,本線,369,0.370869687,242.802267
139.54736,35.41875,0,はやぶさ,本線,370,0.373344561,241.7595795
139.54331,35.41662,0,はやぶさ,本線,371,0.37792052,242.1420292
139.54026,35.415,0,はやぶさ,本線,372,0.381374054,241.9763086
139.53981,35.41476,0,はやぶさ,本線,373,0.381884054,239.8135488
139.53807,35.41366,0,はやぶさ,本線,374,0.383942598,237.787293
139.53764,35.41339,0,はやぶさ,本線,375,0.384450338,236.6832393
139.53684,35.41284,0,はやぶさ,本線,376,0.385421162,232.8962018
139.53631,35.4124,0,はやぶさ,本線,377,0.386110002,230.6866915
139.53605,35.41219,0,はやぶさ,本線,378,0.386444217,223.5164868
139.53568,35.41168,0,はやぶさ,本線,379,0.387074296,213.1698216
139.53534,35.4111,0,はやぶさ,本線,380,0.387746606,209.5733877
139.53506,35.41059,0,はやぶさ,本線,381,0.388328413,210.6194208
139.53499,35.41048,0,はやぶさ,本線,382,0.388458797,209.0155787
139.53477,35.41002,0,はやぶさ,本線,383,0.388968699,203.4652937
139.53459,35.40956,0,はやぶさ,本線,384,0.389462663,195.8891668
139.5345,35.40907,0,はやぶさ,本線,385,0.38996086,190.2766279
